City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Ko Samui,TH,9.5357,99.9357,83.89,75,100,20.45,overcast clouds
199,Jackson,US,42.4165,-122.8345,96.15,25,2,8.99,clear sky
200,Karla,EE,59.3723,24.9275,66.56,88,75,8.05,broken clouds
201,Katsuura,JP,35.1333,140.3,87.91,76,22,14.63,few clouds
202,Kavieng,PG,-2.5744,150.7967,85.15,68,37,6.71,light rain
203,Meulaboh,ID,4.1363,96.1285,78.94,81,100,4.25,overcast clouds
204,Vostok,RU,46.4856,135.8833,87.73,50,83,3.58,broken clouds
205,Biak,ID,-0.9131,122.8766,82.09,71,32,6.98,scattered clouds
206,Lima,PE,-12.0432,-77.0282,59.14,96,20,7.49,few clouds
207,Amherst,US,41.3978,-82.2224,77.52,86,1,3.44,clear sky
208,Belen,TR,36.4891,36.2233,72.03,42,0,7.14,clear sky
209,Phan Thiet,VN,10.9333,108.1,84.92,70,92,14.43,overcast clouds
210,Likasi,CD,-10.9814,26.7333,50.85,54,2,4.38,clear sky
211,Mbandaka,CD,0.0487,18.2603,74.23,52,100,2.48,overcast clouds
212,Tel Aviv-Yafo,IL,32.0805,34.7805,79.21,87,40,9.22,scattered clouds
213,Pevek,RU,69.7008,170.3133,33.04,96,100,25.48,snow
214,Te Anau,NZ,-45.4167,167.7167,54.03,68,82,2.84,broken clouds
215,Viedma,AR,-40.8135,-62.9967,43.88,50,0,9.37,clear sky
216,Anadyr,RU,64.75,177.4833,54.1,62,75,20.13,broken clouds
217,Ligayan,PH,4.6533,119.4706,84.42,77,71,16.28,broken clouds
218,New Norfolk,AU,-42.7826,147.0587,52.92,47,64,11.21,broken clouds
219,Saint-Augustin,CA,51.226,-58.6502,56.34,94,48,6.49,scattered clouds
220,Mount Gambier,AU,-37.8333,140.7667,55.53,74,54,9.75,broken clouds
221,Idaho Falls,US,43.4666,-112.0341,78.89,53,20,8.05,few clouds
222,Husavik,IS,66.0449,-17.3389,48.31,98,100,6.55,overcast clouds
223,Kunming,CN,25.0389,102.7183,67.78,86,98,1.99,overcast clouds
224,Longyearbyen,SJ,78.2186,15.6401,42.64,93,90,10.36,overcast clouds
225,Kieta,PG,-6.2167,155.6333,84.29,69,38,3.85,light rain
226,Zyryanka,RU,65.75,150.85,40.12,91,100,12.97,overcast clouds
227,Richards Bay,ZA,-28.783,32.0377,56.32,67,2,7.56,clear sky
228,Gimbi,ET,9.1667,35.8333,54.88,97,100,1.9,overcast clouds
229,Bud,US,39.447,-86.1758,80.56,86,100,3.98,overcast clouds
230,Muzhi,RU,65.3667,64.6667,47.95,87,100,6.38,overcast clouds
231,Trelew,AR,-43.249,-65.3051,45.66,50,37,3.98,scattered clouds
232,Puerto Escondido,MX,15.85,-97.0667,80.1,85,97,2.64,overcast clouds
233,Lumut,MY,4.2323,100.6298,81.18,77,100,8.3,overcast clouds
234,Cherskiy,RU,68.75,161.3,37.71,86,100,19.28,overcast clouds
235,Sakakah,SA,29.9697,40.2064,82.74,34,0,8.66,clear sky
236,Eufaula,US,31.8913,-85.1455,84.25,83,75,5.75,broken clouds
237,Mungaa,TZ,-4.9667,34.8833,53.42,74,0,7.38,clear sky
238,Kashi,CN,39.4547,75.9797,88.18,21,35,3.33,scattered clouds
239,Ouagadougou,BF,12.3642,-1.5383,75.33,100,40,4.61,scattered clouds
240,Hambantota,LK,6.1241,81.1185,79.14,89,20,6.91,few clouds
241,Flin Flon,CA,54.7682,-101.865,65.89,41,5,5.1,clear sky
242,Sao Filipe,CV,14.8961,-24.4956,74.66,76,100,4.41,overcast clouds
243,Mahebourg,MU,-20.4081,57.7,71.26,73,100,23.47,overcast clouds
244,Sulangan,PH,11.1373,123.7228,84.67,70,36,9.28,scattered clouds
245,Coihaique,CL,-45.5752,-72.0662,37.2,95,98,4.59,overcast clouds
